Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
4038456,Four Lane Ends,11.0,23.0,23,14.317,GREEN,Primary,8.683,53.800047,-1.795636
4038458,Legrams Mill Lane,11.0,18.75,23,9.916,GREEN,Primary,13.084,53.7891,-1.787428
4038467,Rawson Road,11.0,23.0,23,10.994,GREEN,Primary,12.006,53.796457,-1.758811
4038459,Saint Street,11.0,23.0,23,6.48,GREEN,Primary,16.52,53.780436,-1.786943
4038457,Toller Lane,11.0,18.75,23,10.759,GREEN,Primary,12.241,53.810413,-1.791431
4038484,Burnleyville,11.0,23.0,23,13.039,GREEN,Primary,9.961,53.732189,-1.688641
4038481,Liversedge,11.0,18.75,23,10.87,GREEN,Primary,12.13,53.708033,-1.69388
4038810,Nab Lane,11.0,25.0,12,9.359,GREEN,Primary,2.641,53.738118,-1.643317
4038651,White Lee,11.0,23.0,23,11.604,GREEN,Primary,11.396,53.714846,-1.660855
4038501,Denholme,11.0,12.0,6.5,3.845,GREEN,Primary,2.655,53.804868,-1.897743
4038507,Furness Avenue,11.0,23.0,23,12.277,GREEN,Primary,10.723,53.749051,-1.895326
4038508,Gibraltar Road,11.0,24.0,24,15.366,GREEN,Primary,8.634,53.721525,-1.891314
4038514,Queensbury,11.0,24.0,24,14.528,GREEN,Primary,9.472,53.760798,-1.828588
4038510,Swan Bank Lane,11.0,24.0,24,12.309,GREEN,Primary,11.691,53.716902,-1.851945
4038455,Thornton,11.0,18.75,23,12.659,GREEN,Primary,10.341,53.792596,-1.832489
4038728,Easington,11.0,24.0,17,5.445,GREEN,Primary,11.555,53.660368,0.115645
4038721,Hedon Road,11.0,23.0,23,15.732,GREEN,Primary,7.268000000000001,53.744033,-0.245122
4038807,Ottringham Road,11.0,24.0,15,13.062,AMBER,Primary,1.9380000000000006,53.709963,-0.099857
4038726,Patrington Road,11.0,24.0,8,5.29,GREEN,Primary,2.71,53.698921,-0.069244
4038717,Westcott Street,11.0,23.0,23,14.189,GREEN,Primary,8.811,53.75962,-0.305829
4038727,Withernsea,11.0,24.0,10,5.779,GREEN,Primary,4.221,53.726046,0.029292
4038704,Elgar Road,11.0,18.75,23,15.511,GREEN,Primary,7.489000000000001,53.735286,-0.417327
4038698,Gibson Lane,11.0,18.75,23,15.746,GREEN,Primary,7.254,53.721035,-0.532047
4038766-1,Newport 1,11.0,24.0,18.4,16.709,RED,Primary,1.690999999999999,53.765822,-0.696853
4038697,Skillings Lane,11.0,23.0,24,9.708,GREEN,Primary,14.292,53.725152,-0.574284
4038797,Eggborough,11.0,7.5,8,4.44,GREEN,Primary,3.5599999999999996,53.704704,-1.122599
4038692-11,Ferrybridge A 11kV,11.0,30.0,30,22.9,RED,Primary,7.100000000000001,53.719407,-1.271233
4038816,Grimethorpe,11.0,25.0,25,8.375,GREEN,Primary,16.625,53.570499,-1.381732
4038684,Hemsworth,11.0,12.5,10,8.518,RED,Primary,1.4819999999999993,53.635496,-1.370621
4038686,Ledston,11.0,18.75,23,12.123,AMBER,Primary,10.877,53.749569,-1.355538
4038581,Monckton,11.0,12.5,15.3,8.867,GREEN,Primary,6.433,53.608487,-1.432558
4038689,South Kirkby,11.0,18.75,23,19.651,AMBER,Primary,3.349,53.601087,-1.332417
4038738,Convamore Road,11.0,23.0,23,11.295,GREEN,Primary,11.705,53.557727,-0.069377
