Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
DENTON WEST,6.6,DROYLSDEN,STALYBRIDGE,390380,395565,4.6,6.5
DICKINSON ST,6.6,BLOOM ST,SOUTH MANCHESTER,384109,397722,9.1,8.8
DIDSBURY,6.6,WEST DIDSBURY,SOUTH MANCHESTER,384792,391153,7.2,8.8
DODGSON RD,6.6,PRESTON EAST,PENWORTHAM ,355190,430397,4.6,2.1
DOUGLAS ST,6.6,RIBBLE,PENWORTHAM ,352220,429932,4.6,9.2
DROYLSDEN EAST,6.6,DROYLSDEN,STALYBRIDGE,390532,398053,7.2,7.2
DUKINFIELD,6.6,HYDE,STALYBRIDGE,394372,396438,4.6,11.3
DUMERS LANE,11,BURY,KEARSLEY,380057,408141,7.6,8.1
DUMPLINGTON,11,BARTON,CARRINGTON,376770,397157,15.2,21.7
EASTLANDS,6.6,STUART ST,STALYBRIDGE,386458,398693,9.1,10.2
EASTON,11,-,HARKER,343201,571738,15.2,0
EGREMONT,11,EGREMONT,HARKER,301070,513074,7.6,2.7
EMBLETON,11,STAINBURN & SIDDICK,HARKER,315767,529389,7.6,3.2
EXCHANGE ST,6.6,LOWER DARWEN,ROCHDALE,369100,423028,9.1,2.1
FAILSWORTH,6.6,CHADDERTON,WHITEGATE,389631,401496,4.6,8.4
FALLOWFIELD,6.6,WEST DIDSBURY,SOUTH MANCHESTER,385608,393881,4.6,7.3
FARNWORTH,11,KEARSLEY LOCAL,KEARSLEY,373726,405532,15.2,7.3
FENISCOWLES,6.6,LOWER DARWEN,ROCHDALE,364660,425120,7.2,2.1
FERODO,11,NEW MILLS,STALYBRIDGE,405720,381338,12,1.6
FLAT LANE,11,PADIHAM,PADIHAM,383248,456995,12,0
FREDERICK RD,6.6,FREDERICK RD,KEARSLEY,381697,399348,9.1,0
FUSEHILL,11,CARLISLE,HARKER,341042,555452,7.6,3.2
GALE,6.6,BELFIELD,ROCHDALE,389570,414943,4.6,12.2
GARSTANG,6.6,THORNTON,STANAH,348319,445221,7.2,1.1
GATLEY,6.6,MOSS NOOK,SOUTH MANCHESTER,384242,388388,4.6,1.5
GIDLOW,6.6,WIGAN,KIRKBY,357620,406662,4.6,3.8
GILLSROW,11,PENRITH & SHAP,HUTTON,337117,526444,12,1.3
GLAXO,11,ULVERSTON,HARKER,330458,477825,7.6,6.4
GLOSSOP,11,HYDE,STALYBRIDGE,402300,394074,12,8.2
GOLBORNE,11,GOLBORNE,BOLD,360621,397766,15.2,3.5
GOWHOLE,11,NEW MILLS,STALYBRIDGE,401104,383846,7.6,5.3
GRANE RD,6.6,ROSSENDALE,PADIHAM,378312,422726,4.6,9.3
GRANGE,11,ULVERSTON,HARKER,340240,478314,7.6,4.9
GREAT HARWOOD,6.6,HUNCOAT,PADIHAM,373765,431955,7.2,9.9
GREEN LANE (ALTRINCHAM),11,ALTRINCHAM,CARRINGTON,378744,387772,7.6,5.7
GREEN LANE (HAZEL GROVE),11,HAZEL GROVE,BREDBURY,391570,387132,7.6,0
GREEN ST T11,6.6,WIGAN,KIRKBY,358235,404898,7.2,0.4
GREEN ST T12 & T13,6.6,WIGAN,KIRKBY,358225,404888,7.2,5
GREENFIELD,11,HARTSHEAD-HEYROD,STALYBRIDGE,399322,404583,15.2,12.6
GREENHILL,6.6,GREENHILL,WHITEGATE,393262,404755,4.6,16
GRIFFIN,6.6,LOWER DARWEN,ROCHDALE,367171,427130,9.1,2.1
HADFIELD,11,HYDE,STALYBRIDGE,401790,395876,7.6,12.2
HALL CROSS,6.6,PEEL,PENWORTHAM ,342288,430650,7.2,2.2
HANDFORTH,11,MOSS NOOK,SOUTH MANCHESTER,385958,383397,7.6,11
HANGING BRIDGE,11,WRIGHTINGTON,PENWORTHAM ,346186,417486,12,1.7
HAREHOLME,6.6,ROSSENDALE,PADIHAM,382535,422283,9.1,5.8
HARPURHEY,6.6,RED BANK,WHITEGATE,385907,402469,4.6,11.2
HARWOOD,11,BOLTON,KEARSLEY,374043,410941,7.6,3
HATTERSLEY,11,HYDE,STALYBRIDGE,398419,395120,15.2,4.8
HAVERTHWAITE,11,ULVERSTON,HARKER,334234,483827,12,4.4
HAWK GREEN,11,HAZEL GROVE,BREDBURY,395915,387138,12,11.2
HAYDOCK,11,GOLBORNE,BOLD,357489,397336,12,11.9
HDA NO1,11,STAINBURN & SIDDICK,HARKER,301743,524532,7.6,13.1
HDA NO2,11,STAINBURN & SIDDICK,HARKER,301429,525527,12,13.1
HEADY HILL,6.6,CASTLETON,ROCHDALE,384370,410583,4.6,5.2
HEAP BRIDGE,6.6,BURY,KEARSLEY,382793,410428,4.6,7.8
HEASANDFORD,6.6,BURNLEY,ROCHDALE,385349,433821,4.6,9.4
HEATON MOOR,6.6,VERNON PARK,BREDBURY,387623,391345,7.2,5.9
HEATON NORRIS,6.6,VERNON PARK,BREDBURY,388860,391967,4.6,0.9
HELWITH BRIDGE,11,PADIHAM,PADIHAM,381025,469428,12,0.8
HENSINGHAM,11,EGREMONT,HARKER,298465,517239,12,12.2
HEYROD,6.6,HARTSHEAD-HEYROD,STALYBRIDGE,397310,399981,6.9,9.7
HEYSIDE,6.6,ROYTON,WHITEGATE,393433,407129,4.6,11.5
HEYWOOD,6.6,CASTLETON,ROCHDALE,385429,410369,7.2,1.3
HIGHER MILL,6.6,MOSS NOOK,SOUTH MANCHESTER,385731,388090,4.6,6.7
HIGHER WALTON,11,LEYLAND,PENWORTHAM ,358020,427270,7.6,6.5
HILL TOP T11 & T12,11,KEARSLEY LOCAL,KEARSLEY,373466,403748,7.6,5.5
HILL TOP T13,11,KEARSLEY LOCAL,KEARSLEY,373476,403758,7.6,0.4
